formula,prediction,density,Peak Score,index
P3N5,200.401,0.263,2.093,6305
LiB,118.435,0.173,1.513,4293
ZrH3,136.817,0.247,1.465,10471
Sr6Sn2NO,118.188,0.142,1.404,8034
Sr3MnN3,105.390,0.180,1.338,8007
CrPO4,168.037,0.255,1.273,1787
Mn3O4,145.842,0.264,1.253,5230
Ca2MnO4,103.772,0.233,1.232,1030
ErB2Rh2C,195.815,0.275,1.136,2384
Na2Hf2O5,89.101,0.236,0.811,5475
P2Pb2O7,128.208,0.260,0.793,6298
DyIr3,151.966,0.281,0.784,2263
NdBPd3,164.856,0.283,0.764,6045
MnAlRh2,181.893,0.288,0.706,5266
Er2ZnRu,109.618,0.181,0.664,2366
Mg(BeN)2,131.766,0.276,0.627,4839
Al(SnO2)2,126.398,0.261,0.597,139
K2SnCl6,53.688,0.228,0.584,3510
Li3Au,56.572,0.111,0.577,4140
TbGaRh2,144.565,0.280,0.568,8438
Sc2CoRu,165.558,0.287,0.530,7168
BeGaRh2,175.005,0.288,0.529,852
Sm2Zr2O7,105.040,0.244,0.518,7608
Cu3P,150.116,0.287,0.468,2071
Sm2AgSn,75.147,0.179,0.411,7571
CaPd3O4,132.445,0.251,0.396,1270
MgSiN2,128.155,0.271,0.395,5115
RbSbO3,55.539,0.233,0.371,6979
Li7Sn2,49.285,0.114,0.331,4239
CrGaP2,130.594,0.276,0.324,1766
SrLi4N2,64.435,0.122,0.315,8126
Fe2W,166.920,0.289,0.298,2569
Ca3Au,71.424,0.104,0.231,1065
U2CrN3,121.534,0.280,0.219,9287
Ho2CF2,56.888,0.226,0.218,3185
CeIr2,150.349,0.281,0.193,1545
Li4UO5,69.913,0.180,0.189,4204
Cs2CrCl4,48.105,0.221,0.188,1826
Yb2AgSn,58.508,0.177,0.164,9954
BaTiS3,68.337,0.236,0.146,751
Pr2ZnHg,55.234,0.179,0.146,6558
Pr(CoSi)2,119.242,0.276,0.122,6525
LiAlPt2,103.741,0.275,0.113,4281
CaCu2O3,102.355,0.251,0.069,1177
LiLuPt2,76.143,0.183,0.057,4478
ScNbOs2,140.049,0.286,0.046,7384
YNiSb,85.263,0.268,0.030,9851
Yb2SbAu,53.112,0.188,0.025,9975
AsPdSe,84.650,0.273,0.008,352
CaSmZn2,42.997,0.174,0.006,1307
Nd2CdIn,48.983,0.176,-0.006,6000
LiTmIn2,40.466,0.172,-0.011,4641
Cr2FeS4,106.944,0.268,-0.023,1698
ZnCo3C,135.538,0.287,-0.062,10231
Nd(CoSi)2,112.045,0.275,-0.063,5981
Fe3Sn2,131.293,0.286,-0.064,2587
TbNi2,104.603,0.277,-0.079,8458
HoTmMg2,45.310,0.177,-0.093,3325
YMg2,62.674,0.272,-0.099,9816
Ga2CoS4,95.361,0.263,-0.104,2674
DyCuSeO,88.388,0.251,-0.112,2242
TiBiRh,178.212,0.289,-0.119,8848
Cs2PbCl6,25.721,0.227,-0.135,1870
LiTmHg2,33.165,0.173,-0.152,4640
NdTmTl2,36.352,0.174,-0.154,6155
Ho2Cr2C3,99.335,0.273,-0.164,3189
Hf4N3,153.220,0.289,-0.254,2946
CeNiC2,120.196,0.279,-0.370,1560
BaTe2,36.190,0.227,-0.381,744
Ca3BiSb,49.679,0.143,-0.401,1069
TbCd3,51.630,0.279,-0.438,8415
Cs2RbInF6,13.356,0.221,-0.452,1888
ThSiO4,108.008,0.257,-0.492,8639
V2C,141.206,0.290,-0.498,9401
CuAs,77.070,0.280,-0.594,2091
Ho(SiRu)2,123.018,0.279,-0.620,3178
LiZnAu2,56.803,0.274,-0.637,4682
HfPbO3,104.092,0.261,-0.669,3060
SmMn2O5,104.519,0.260,-0.697,7724
Ni2Ge,107.891,0.287,-0.717,6171
LiErGe,40.481,0.132,-0.718,4381
LaCu2,82.078,0.281,-0.770,3852
Ti2GaC,133.216,0.289,-0.776,8693
TmHfRu2,132.498,0.279,-0.787,9217
Rb3Mg,5.618,0.108,-0.792,6861
MnSbPd2,119.803,0.287,-0.910,5373
HoCd3,31.519,0.277,-0.955,3230
SF6,20.490,0.221,-0.957,7074
ErCdCu4,60.833,0.286,-0.989,2394
MgS,48.582,0.266,-1.002,5093
Sc3AlC,109.357,0.289,-1.014,7232
Sr(ZnGe)2,49.673,0.270,-1.091,7904
Rb2Cr(BrCl)2,-0.800,0.224,-1.106,6763
TaNiGe,124.370,0.289,-1.150,8321
ZrGeTe,74.328,0.276,-1.242,10467
In2Se3,47.929,0.261,-1.543,3346
Ba(CdAs)2,36.145,0.269,-1.590,422
Sc,65.203,0.280,-1.801,7129
CdCl2,22.174,0.253,-1.891,1387
Sc2CdAg,61.939,0.288,-1.893,7161
